,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
45,LOOKOUT POINT,1,Kitsap,None,,11/7/2023,23201,(PFBS) PFbutane sulfonic acid,10.9ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
45,LOOKOUT POINT,3,Kitsap,None,,11/7/2023,23205,(PFBS) PFbutane sulfonic acid,6.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
45,LOOKOUT POINT,3,Kitsap,None,,5/14/2024,28017,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
675,COUNTRY MEADOWS,1,Kitsap,None,,1/11/2023,29301,(PFHxA) PFhexanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
675,COUNTRY MEADOWS,1,Kitsap,None,,1/11/2023,29301,(PFPeA) PFpentanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2117,LACAMAS FARMSTEADS,1,Pierce,None,,5/8/2023,32001,(PFBS) PFbutane sulfonic acid,2.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2117,LACAMAS FARMSTEADS,1,Pierce,None,,9/12/2023,26101,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2117,LACAMAS FARMSTEADS,1,Pierce,None,,11/13/2023,42401,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2117,LACAMAS FARMSTEADS,1,Pierce,None,,2/13/2024,24501,(PFBS) PFbutane sulfonic acid,4.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
