Water System Name,Source,County,Testing Date,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text
LOOKOUT POINT,1,Kitsap,11/7/2023,(PFBS) PFbutane sulfonic acid,10.9ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LOOKOUT POINT,3,Kitsap,11/7/2023,(PFBS) PFbutane sulfonic acid,6.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LOOKOUT POINT,3,Kitsap,5/14/2024,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
COUNTRY MEADOWS,1,Kitsap,1/11/2023,(PFHxA) PFhexanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
COUNTRY MEADOWS,1,Kitsap,1/11/2023,(PFPeA) PFpentanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,5/8/2023,(PFBS) PFbutane sulfonic acid,2.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,9/12/2023,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,11/13/2023,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,2/13/2024,(PFBS) PFbutane sulfonic acid,4.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,5/8/2024,(PFBS) PFbutane sulfonic acid,7.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/2023,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/2023,(PFHxS) PFhexane sulfonic acid,3.9ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/2023,(PFOA) PFoctanoic acid,3.3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/2023,(PFPeA) PFpentanoic acid,4.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/2023,(PFBS) PFbutane sulfonic acid,2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/2023,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/2023,(PFHxS) PFhexane sulfonic acid,2.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/2023,(PFOA) PFoctanoic acid,2.7ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/2023,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/2024,(PFBS) PFbutane sulfonic acid,2.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/2024,(PFHxA) PFhexanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/2024,(PFHxS) PFhexane sulfonic acid,4.5ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/2024,(PFOA) PFoctanoic acid,3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/2024,(PFPeA) PFpentanoic acid,4.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/2023,(PFBS) PFbutane sulfonic acid,3.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/2023,(PFHxA) PFhexanoic acid,3.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/2023,(PFOA) PFoctanoic acid,5.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/2023,(PFOS) PFoctane sulfonic acid,4.9ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/2023,(PFPeA) PFpentanoic acid,3.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/2023,(PFBS) PFbutane sulfonic acid,4.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/2023,(PFHxA) PFhexanoic acid,4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/2023,(PFOA) PFoctanoic acid,5.2ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/2023,(PFOS) PFoctane sulfonic acid,4.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/2023,(PFPeA) PFpentanoic acid,3.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/2024,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/2024,(PFHxA) PFhexanoic acid,4.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/2024,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/2024,(PFOS) PFoctane sulfonic acid,5.3ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/2024,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/2023,(PFBS) PFbutane sulfonic acid,4.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/2023,(PFBS) PFbutane sulfonic acid,4.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/2023,(PFBS) PFbutane sulfonic acid,4.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/2023,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/2023,(PFHxA) PFhexanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/2023,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
