county_name,measurement_date,pfas_level,pfas_compound,water_source,recommended_filter,comments
King,3/15/2022,14.32,(PFOS) PFoctane sulfonic acid,Cedar River,Activated Carbon,PFOS levels slightly elevated; filtration recommended.
King,3/15/2022,9.87,(PFOA) PFoctanoic acid,Groundwater Wells,Reverse Osmosis,PFOA is persistent in the environment; RO is suggested.
King,3/15/2022,4.12,(PFNA) PFnonanoic acid,Municipal Water,Granular Activated Carbon,"Detected in low levels, but still advisable to filter."
King,3/15/2022,5.78,(PFHxS) PFhexane sulfonic acid,Surface Water,Ion Exchange Resin,Can accumulate in the body over time; filtration is necessary.
King,3/15/2022,2.95,(PFBS) PFbutane sulfonic acid,Lake Washington,Activated Carbon,Short-chain PFAS; lower risk but filtration is still advised.
King,3/15/2022,6.34,(PFUnA) PFundecanoic acid,Private Wells,Reverse Osmosis,Highly persistent PFAS; RO is the best removal method.
King,3/15/2022,3.27,(PFPeS) PFpentanesulfonic acid,Groundwater,Ion Exchange Resin,Limited research available; precautionary filtration suggested.
King,3/15/2022,8.21,(PFPeA) PFpentanoic acid,Seattle Water Supply,Activated Carbon,Detected at moderate levels; filtration helps reduce exposure.
King,3/15/2022,1.82,(PFMPA) PF-3-methoxypropanoic acid,Irrigation Canals,Reverse Osmosis,Emerging PFAS compound; filtration is recommended.
King,3/15/2022,6.92,(PFMBA) PF-4-methoxybutanoic acid,Surface Water,Granular Activated Carbon,Could bioaccumulate; removal is advised.
King,3/15/2022,3.64,(PFHxA) PFhexanoic acid,King County Municipal Supply,Reverse Osmosis,PFHxA is persistent; best removed through RO.
King,3/15/2022,7.55,(PFHpS) PFheptanesulfonic acid,Private Wells,Activated Carbon,Moderate presence; activated carbon helps reduce risk.
King,3/15/2022,5.11,(PFHpA) PFheptanoic acid,Irrigation Sources,Reverse Osmosis,May persist in water; recommended to filter.
King,3/15/2022,9.28,(PFEESA) PF(2-ethoxyethane)sulfonic acid,Groundwater,Ion Exchange,Lack of research; precautionary filtration suggested.
King,3/15/2022,4.89,(PFDoA) PFdodecanoic acid,Surface Water,Reverse Osmosis,"Long-chain PFAS, very persistent, avoid exposure."
