Water System Name,Source,County,Testing Date,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text
LOOKOUT POINT,1,Kitsap,11/7/23,(PFBS) PFbutane sulfonic acid,10.9ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LOOKOUT POINT,3,Kitsap,11/7/23,(PFBS) PFbutane sulfonic acid,6.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LOOKOUT POINT,3,Kitsap,5/14/24,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
COUNTRY MEADOWS,1,Kitsap,1/11/23,(PFHxA) PFhexanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
COUNTRY MEADOWS,1,Kitsap,1/11/23,(PFPeA) PFpentanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,5/8/23,(PFBS) PFbutane sulfonic acid,2.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,9/12/23,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,11/13/23,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,2/13/24,(PFBS) PFbutane sulfonic acid,4.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
LACAMAS FARMSTEADS,1,Pierce,5/8/24,(PFBS) PFbutane sulfonic acid,7.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/23,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/23,(PFHxS) PFhexane sulfonic acid,3.9ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/23,(PFOA) PFoctanoic acid,3.3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,7/5/23,(PFPeA) PFpentanoic acid,4.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/23,(PFBS) PFbutane sulfonic acid,2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/23,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/23,(PFHxS) PFhexane sulfonic acid,2.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/23,(PFOA) PFoctanoic acid,2.7ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,11/15/23,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/24,(PFBS) PFbutane sulfonic acid,2.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/24,(PFHxA) PFhexanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/24,(PFHxS) PFhexane sulfonic acid,4.5ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/24,(PFOA) PFoctanoic acid,3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
West Sound Utility District #1,16,Kitsap,2/26/24,(PFPeA) PFpentanoic acid,4.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/23,(PFBS) PFbutane sulfonic acid,3.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/23,(PFHxA) PFhexanoic acid,3.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/23,(PFOA) PFoctanoic acid,5.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/23,(PFOS) PFoctane sulfonic acid,4.9ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,9/27/23,(PFPeA) PFpentanoic acid,3.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/23,(PFBS) PFbutane sulfonic acid,4.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/23,(PFHxA) PFhexanoic acid,4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/23,(PFOA) PFoctanoic acid,5.2ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/23,(PFOS) PFoctane sulfonic acid,4.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,12/19/23,(PFPeA) PFpentanoic acid,3.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/24,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/24,(PFHxA) PFhexanoic acid,4.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/24,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/24,(PFOS) PFoctane sulfonic acid,5.3ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
KUZMANICH WATER SYSTEM,1,Pierce,2/13/24,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/23,(PFBS) PFbutane sulfonic acid,4.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/23,(PFBS) PFbutane sulfonic acid,4.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/23,(PFBS) PFbutane sulfonic acid,4.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/23,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/23,(PFHxA) PFhexanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/23,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/23,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/23,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/23,(PFOA) PFoctanoic acid,4.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/23,(PFOS) PFoctane sulfonic acid,2.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/23,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/23,(PFOS) PFoctane sulfonic acid,2.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/23,(PFPeA) PFpentanoic acid,5.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/23,(PFPeA) PFpentanoic acid,5.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/23,(PFPeA) PFpentanoic acid,5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/23,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/23,(PFHxA) PFhexanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/23,(PFOA) PFoctanoic acid,2.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/23,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/23,(PFPeA) PFpentanoic acid,3.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/23,(PFBS) PFbutane sulfonic acid,3.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/23,(PFOA) PFoctanoic acid,2.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/23,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/23,(PFPeA) PFpentanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFHpA) PFheptanoic acid,2.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFHxA) PFhexanoic acid,3.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFOA) PFoctanoic acid,5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/24,(PFPeA) PFpentanoic acid,5.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/23,(6:2FTS) H-PFoctane sulfonic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/23,(PFBA) PFbutanoic acid,4.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/23,(PFBA) PFbutanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/23,(PFBS) PFbutane sulfonic acid,10.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/23,(PFBS) PFbutane sulfonic acid,17.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/23,(PFBS) PFbutane sulfonic acid,29.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/23,(PFBS) PFbutane sulfonic acid,30.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
